product_code;r2_train;Rmse_train
0;0.768983088;0.054831224
1;0.624200708;0.062789398
2;0.277079736;0.042358609
3;0.625675189;0.085135776
4;0.702760195;0.047476397
5;0;0.002055972
6;0.573649541;0.10166373
7;0.48233709;0.039543695
8;0.611572313;0.126917819
9;0.471756158;0.038411083
10;0.594016535;0.121650218
11;0.859186739;0.01333057
12;0.810634115;0.026300817
13;0.997500712;0.000315746
14;0.580079753;0.066936021
15;0.732319485;0.037984664
16;0.58253871;0.179247188
17;0.836867638;0.032188796
18;0.699785107;0.036738316
19;0.316965527;0.119674161
20;0.576546596;0.004094277
21;0.576546596;0.00088695
22;0.99367115;0.000317648
23;0.794214673;0.017007052
24;0.646952792;0.031774249
25;0;0.004875536
26;0.939995414;0.010018542
27;0.576546596;0.00331444
28;0.986290541;0.002127172
29;0.89689227;0.042480703
30;0;0.017452739
31;0.576546596;0.014688218
32;0.56946914;0.059082555
33;0.780751186;0.021479074
34;0.924402105;0.012659354
35;0.566112301;0.0740025
36;0.768730725;0.033480528
37;0.587108695;0.08656431
38;0.856887432;0.01959842
39;0.962804913;0.02220319
40;0.318547036;0.094646245
41;0.315211306;0.106071344
42;0.569911835;0.068225857
43;0.96148756;0.001331997
44;0.950904437;0.008217069
45;0.960488232;0.0050203
46;0.760083925;0.028832813
47;0.576546596;0.005326052
48;0.576546596;0.000457694
49;0.576475614;0.074621834
50;0;0.003025582
51;0.576546596;0.003162732
52;0.858815485;0.022224318
53;0.224623832;0.060677423
54;0.652456556;0.086828737
55;0.062500489;0.022850445
56;0.694913569;0.059865877
57;0.553439227;0.060407748
58;0.630474671;0.038754074
59;0.704520588;0.033208883
60;0.422894198;0.056094323
61;0.460353001;0.103736988
62;0.507782502;0.012836001
63;0.336845287;0.053601553
64;0.280151578;0.054606096
65;0.444289447;0.051828785
66;0.383686284;0.104654444
67;0.307717759;0.047376756
68;0.179377893;0.076351152
69;0.609022762;0.034085214
70;0.365013434;0.19450185
71;0.56247411;0.101398267
72;0.224304497;0.113037527
73;0.764056435;0.213252875
74;0.254638593;0.113648177
75;0.36977778;0.099272623
76;0.314846849;0.032009191
77;0.600517303;0.056107213
78;0.612070873;0.33587784
79;0.558046892;0.083994272
80;0.652676808;0.195758013
81;0.263169605;0.123324326
82;0.233405278;0.04999358
83;0.642650819;0.01736199
84;0.37419934;0.077079015
85;0.509330755;0.044121729
86;0.576546596;0.002346501
87;0.652930032;0.046745259
88;0.773750318;0.215333629
89;0.501418148;0.400245179
90;0.499222083;0.285568186
91;0.316660076;0.092076765
92;0.669732619;0.14268152
93;0.651883616;0.254864985
94;0.373711308;0.109679671
95;0.351894953;0.233959474
96;0.634743758;0.328608418
97;0.443271274;0.134302757
98;0.442991688;0.349301394
99;0.274577868;0.092209804
100;0.422116071;0.393939663
101;0.78965416;0.170818924
102;0.640426797;0.281810048
103;0.783195362;0.178257437
104;0.682895713;0.239278719
105;0.184162113;0.04409107
106;0.776995815;0.032967317
107;0.587327671;0.575753656
108;0.745287375;0.020744985
109;0.583163358;0.265996465
110;0.576546596;0.00174274
111;0.927332679;0.053298636
112;0.631997117;0.068191127
113;0.618958239;0.261335299
114;0.84898627;0.164362582
115;0.842707208;0.119190693
116;0.85398217;0.129838827
117;0.88725701;0.029526709
